,Institution,2009,2010,2011,2012,2013,2014,2015,2016,2016Finished
0,Institution,,,,,,,,,2016Finished Y/N
1,Aberystwyth University,,,,54.0,39.0,41.0,54.0,72.0,Yes
2,Bangor University,,,,,312.0,174.0,274.0,192.0,Yes
3,Birmingham City University,,,,,,,,,
4,Brunel University London,32.0,58.0,74.0,73.0,64.0,66.0,87.0,84.0,No
5,Cardiff University,160.0,195.0,224.0,234.0,260.0,283.0,62.0,98.0,No
6,"City, University of London",,,118.0,113.0,141.0,119.0,115.0,0.0,No
7,Coventry University,,,,,,,,,
8,De Montfort University,,,,,123.0,118.0,75.0,303.0,Yes
9,Imperial,,391.0,327.0,278.0,203.0,257.0,178.0,178.0,No
10,Keele University,,31.0,44.0,45.0,70.0,61.0,72.0,,
11,King’s College London,,,,,,,,,
12,Kingston University,39.0,54.0,49.0,44.0,68.0,54.0,63.0,50.0,Yes
13,Leeds Beckett University,,,,,,,,,
14,Liverpool John Moores University,32.0,28.0,32.0,20.0,37.0,35.0,,,
15,LSE,,98.0,131.0,160.0,156.0,165.0,153.0,,Yes
16,Loughborough University,,114.0,100.0,94.0,94.0,115.0,97.0,117.0,
17,Newcastle University,89.0,65.0,87.0,139.0,157.0,165.0,201.0,201.0,No
18,Oxford Brookes University,39.0,27.0,34.0,41.0,37.0,50.0,58.0,,No
19,Queen Mary University of London,,,,,,,,,
20,"Royal Holloway, University of London",,,,,,,15.0,30.0,Yes
21,Sheffield Hallam University,,80.0,82.0,85.0,124.0,106.0,125.0,55.0,No
22,Swansea University,,75.0,74.0,41.0,73.0,83.0,93.0,101.0,?
23,The Manchester Metropolitan University,,,108.0,106.0,117.0,114.0,97.0,145.0,Yes
24,The Nottingham Trent University,,,,,,,,,
25,The Open University,,,,,,,,,
26,The Queen’s University of Belfast,107.0,85.0,78.0,71.0,88.0,107.0,118.0,94.0,Yes
27,The University of Aberdeen,,52.0,74.0,81.0,79.0,102.0,92.0,,No
28,The University of Bath,,25.0,58.0,48.0,53.0,61.0,62.0,118.0,
29,The University of Birmingham,,49.0,32.0,65.0,42.0,41.0,47.0,62.0,No
30,The University of Brighton,,86.0,81.0,91.0,92.0,67.0,85.0,,No
31,The University of Bristol,178.0,209.0,248.0,343.0,442.0,237.0,335.0,497.0,Yes
32,The University of Cambridge,,,,,,376.0,481.0,577.0,Yes
33,The University of Central Lancashire,88.0,83.0,90.0,100.0,102.0,123.0,130.0,,
34,The University of Dundee,64.0,69.0,92.0,85.0,92.0,104.0,110.0,,No
35,The University of East Anglia,100.0,109.0,106.0,111.0,121.0,134.0,151.0,182.0,
36,The University of Edinburgh,205.0,183.0,187.0,269.0,232.0,310.0,353.0,368.0,
37,The University of Essex,,,,,,28.0,40.0,60.0,
38,The University of Exeter,,,,102.0,130.0,173.0,187.0,165.0,No
39,The University of Glasgow,,,25.0,34.0,23.0,26.0,37.0,37.0,Yes
40,The University of Greenwich,38.0,33.0,47.0,,29.0,30.0,33.0,33.0,Yes
41,The University of Hull,44.0,38.0,47.0,43.0,45.0,64.0,68.0,0.0,No
42,The University of Kent,24.0,94.0,75.0,95.0,102.0,74.0,94.0,0.0,No
43,The University of Lancaster,,,,,25.0,75.0,60.0,42.0,No
44,The University of Leeds,,242.0,253.0,435.0,473.0,554.0,625.0,0.0,No
45,The University of Leicester,,,,259.0,275.0,238.0,266.0,68.0,No
46,The University of Liverpool,,,,,,,,143.0,No
47,The University of Manchester,341.0,337.0,440.0,308.0,346.0,300.0,299.0,303.0,Yes
48,The University of Oxford,158.0,125.0,133.0,112.0,115.0,120.0,141.0,130.0,No
49,The University of Portsmouth,69.0,76.0,77.0,85.0,65.0,104.0,120.0,,No
50,The University of Reading,,,,26.0,75.0,50.0,27.0,86.0,Yes
51,The University of Salford,,,,,,,,,
52,The University of Sheffield,30.0,,,,,,700.0,816.0,Yes
53,The University of Southampton,,,,,,,,,
54,The University of St Andrews,,,,,83.0,88.0,69.0,72.0,No
55,The University of Stirling,,11.0,12.0,5.0,8.0,9.0,,,
56,The University of Strathclyde,,,,,,,34.0,94.0,Yes
57,The University of Surrey,,,,97.0,91.0,113.0,126.0,144.0,No
58,The University of Sussex,31.0,28.0,30.0,30.0,22.0,4.0,1.0,13.0,Yes
59,The University of Warwick,117.0,148.0,221.0,230.0,312.0,309.0,487.0,,
60,The University of Westminster,18.0,14.0,12.0,14.0,12.0,8.0,7.0,17.0,
61,The University of Wolverhampton,,,,,,,,,
62,The University of York,,556.0,773.0,557.0,668.0,694.0,681.0,489.0,No
63,University College London,,,,,,,,,
64,University of Derby,,,,,,,82.0,140.0,Yes
65,University of Durham,,,,39.0,70.0,91.0,96.0,99.0,No
66,University of Hertfordshire,,,,,,,,,
67,University of Northumbria,,,,,,,,283.0,No
68,University of Nottingham,,,,,,,,,
69,University of Plymouth,,,,,,,,,
70,University of South Wales,,,,,,,,,
71,"University of the Arts, London",,,,102.0,103.0,118.0,138.0,,Yes
72,University of the West of England,136.0,134.0,155.0,132.0,151.0,101.0,120.0,97.0,No
73,University of Ulster,,,,,,,51.0,47.0,
74,University of Worcester,,,,,15.0,24.0,25.0,29.0,
